INFO:root:Batch Loss (Square Loss): 0.1280 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1204 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1382 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2212 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1306 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1407 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1909 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.1842 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1882 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1263 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1206 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1227 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1333 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1386 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1357 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1713 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1211 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1272 | Accuracy: 0.3125
INFO:root:Batch Loss (Square Loss): 0.2037 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1529 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1446 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1238 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1313 | Accuracy: 0.3125
INFO:root:Batch Loss (Square Loss): 0.2486 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1532 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.0864 | Accuracy: 0.7812
INFO:root:Batch Loss (Square Loss): 0.1356 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1247 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1271 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1328 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1615 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1842 | Accuracy: 0.5000
INFO:root:Epoch 6/100
INFO:root:Batch Loss (Square Loss): 0.1587 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2202 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1853 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.2079 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1526 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1700 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1494 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1086 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1325 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1596 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.2170 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1392 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1382 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2098 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1282 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1350 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1617 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2755 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1653 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1626 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1315 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1357 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1292 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1384 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.2040 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1538 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1248 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1257 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1538 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.3275 | Accuracy: 0.2500
INFO:root:Batch Loss (Square Loss): 0.1203 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1350 | Accuracy: 0.3750
INFO:root:Epoch 7/100
INFO:root:Batch Loss (Square Loss): 0.1422 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1453 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1847 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2455 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1436 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1995 | Accuracy: 0.3125
INFO:root:Batch Loss (Square Loss): 0.3044 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.2253 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1333 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.2394 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1317 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1244 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1194 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1668 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.2023 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1966 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1472 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1702 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1968 | Accuracy: 0.3438
INFO:root:Batch Loss (Square Loss): 0.2244 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1941 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1548 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.2069 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1542 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1787 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1988 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2157 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1543 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.2481 | Accuracy: 0.4062
INFO:root:Batch Loss (Square Loss): 0.1240 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1239 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1255 | Accuracy: 0.6250
INFO:root:Epoch 8/100
INFO:root:Batch Loss (Square Loss): 0.1250 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1209 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1371 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1411 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1202 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1617 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1208 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1178 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.2254 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1278 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1532 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1961 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1442 | Accuracy: 0.5000
