INFO:root:Batch Loss (Square Loss): 0.1250 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1211 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1269 | Accuracy: 0.5000
INFO:root:Epoch 6/200
INFO:root:Batch Loss (Square Loss): 0.1192 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1289 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1288 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1249 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1249 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1303 | Accuracy: 0.4375
INFO:root:Batch Loss (Square Loss): 0.1196 | Accuracy: 0.6250
INFO:root:Batch Loss (Square Loss): 0.1248 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1337 | Accuracy: 0.3750
INFO:root:Batch Loss (Square Loss): 0.1231 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1147 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1142 | Accuracy: 0.7188
INFO:root:Batch Loss (Square Loss): 0.1174 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1250 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1249 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1174 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1153 | Accuracy: 0.6875
INFO:root:Batch Loss (Square Loss): 0.1271 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1211 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1171 | Accuracy: 0.6562
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1271 | Accuracy: 0.5000
INFO:root:Batch Loss (Square Loss): 0.1290 | Accuracy: 0.4688
INFO:root:Batch Loss (Square Loss): 0.1211 | Accuracy: 0.5938
INFO:root:Batch Loss (Square Loss): 0.1250 | Accuracy: 0.5312
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1230 | Accuracy: 0.5625
INFO:root:Batch Loss (Square Loss): 0.1152 | Accuracy: 0.6875
