nohup: ignoring input
INFO:root:Epoch 1/15
INFO:root:Batch Loss (Cross Entropy Loss): 0.2722 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.2049 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.3131 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.5799 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.4653 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.3894 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.5732 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.4116 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.5459 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.3734 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4481 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.3618 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.7099 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.3134 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.3120 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4104 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.3245 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.3672 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.1933 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 1.0712 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.3615 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.3252 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.3625 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.2566 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.2312 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.3300 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.1712 | Categorical Accuracy: 0.9688
INFO:root:Batch Loss (Cross Entropy Loss): 0.3410 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.4898 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.3195 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.2898 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.1795 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2865 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.5129 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.2788 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.6976 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.4162 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.0539 | Categorical Accuracy: 1.0000
INFO:root:Batch Loss (Cross Entropy Loss): 0.2752 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.4276 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.7004 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 0.2110 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.6691 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.3672 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.3561 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.3727 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.5385 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.3849 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.2516 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.4006 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.3243 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.8215 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.2168 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.6294 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.6231 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 1.1174 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.5682 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.8349 | Categorical Accuracy: 0.7500
INFO:root:Batch Loss (Cross Entropy Loss): 0.2750 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.4414 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 0.4363 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.8593 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.3222 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.2579 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.5891 | Categorical Accuracy: 0.8125
INFO:root:Batch Loss (Cross Entropy Loss): 0.3530 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.3714 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.2704 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.2929 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.2276 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.4524 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.5538 | Categorical Accuracy: 0.7812
INFO:root:Batch Loss (Cross Entropy Loss): 0.4619 | Categorical Accuracy: 0.8750
INFO:root:Batch Loss (Cross Entropy Loss): 0.7738 | Categorical Accuracy: 0.8438
INFO:root:Batch Loss (Cross Entropy Loss): 0.2670 | Categorical Accuracy: 0.9062
INFO:root:Batch Loss (Cross Entropy Loss): 0.2010 | Categorical Accuracy: 0.9375
INFO:root:Batch Loss (Cross Entropy Loss): 0.3550 | Categorical Accuracy: 0.9062
